«cc├gra┤	freqContext	freqGram
«ir├mee┤	10	1466
«oo├mee┤	10	1466
«ou├mee┤	9	1466
«ni├mee┤	8	1466
«y ├mee┤	8	1466
«. ├mee┤	7	1466
«ar├mee┤	7	1466
«ls├mee┤	7	1466
«ol├mee┤	7	1466
«x ├mee┤	5	1466
« s├mee┤	4	1466
«Re├mee┤	4	1466
«f ├mee┤	4	1466
«u ├mee┤	4	1466
«ve├mee┤	4	1466
«' ├mee┤	3	1466
«; ├mee┤	3	1466
«^ ├mee┤	3	1466
«m ├mee┤	3	1466
« (├mee┤	2	1466
«* ├mee┤	2	1466
«b ├mee┤	2	1466
«ce├mee┤	2	1466
« '├mee┤	1	1466
« e├mee┤	1	1466
«) ├mee┤	1	1466
«0 ├mee┤	1	1466
«H ├mee┤	1	1466
«] ├mee┤	1	1466
«al├mee┤	1	1466
«at├mee┤	1	1466
«bo├mee┤	1	1466
«e'├mee┤	1	1466
«en├mee┤	1	1466
«ff├mee┤	1	1466
«g ├mee┤	1	1466
«hi├mee┤	1	1466
«i ├mee┤	1	1466
«j ├mee┤	1	1466
«la├mee┤	1	1466
«li├mee┤	1	1466
«lo├mee┤	1	1466
«nt├mee┤	1	1466
«p ├mee┤	1	1466
«st├mee┤	1	1466
«te├mee┤	1	1466
«w ├mee┤	1	1466
«£ ├mee┤	1	1466
«» ├mee┤	1	1466
«ü ├mee┤	1	1466
« w├ier┤	416	1450
« h├ier┤	208	1450
«iv├ier┤	107	1450
«rt├ier┤	106	1450
« v├ier┤	99	1450
«lh├ier┤	92	1450
« d├ier┤	74	1450
«an├ier┤	38	1450
«ic├ier┤	29	1450
«ul├ier┤	29	1450
«st├ier┤	20	1450
« b├ier┤	17	1450
«ap├ier┤	17	1450
«ev├ier┤	11	1450
«ag├ier┤	10	1450
«ot├ier┤	10	1450
«el├ier┤	7	1450
«rc├ier┤	7	1450
«ss├ier┤	6	1450
«tt├ier┤	6	1450
«ur├ier┤	6	1450
«mp├ier┤	5	1450
« H├ier┤	4	1450
« W├ier┤	4	1450
« g├ier┤	4	1450
«at├ier┤	4	1450
«en├ier┤	4	1450
«rb├ier┤	4	1450
«vr├ier┤	4	1450
«yn├ier┤	4	1450
«Bc├ier┤	3	1450
«al├ier┤	3	1450
«eg├ier┤	3	1450
«et├ier┤	3	1450
«nc├ier┤	3	1450
«rl├ier┤	3	1450
«sp├ier┤	3	1450
«tg├ier┤	3	1450
« D├ier┤	2	1450
« c├ier┤	2	1450
« f├ier┤	2	1450
« n├ier┤	2	1450
« p├ier┤	2	1450
« s├ier┤	2	1450
« t├ier┤	2	1450
«be├ier┤	2	1450
«ed├ier┤	2	1450
«is├ier┤	2	1450
«nm├ier┤	2	1450
«ns├ier┤	2	1450
«ol├ier┤	2	1450
«uk├ier┤	2	1450
«ve├ier┤	2	1450
«yv├ier┤	2	1450
« C├ier┤	1	1450
« M├ier┤	1	1450
« P├ier┤	1	1450
« Q├ier┤	1	1450
« S├ier┤	1	1450
« V├ier┤	1	1450
« Z├ier┤	1	1450
« e├ier┤	1	1450
«6c├ier┤	1	1450
«;m├ier┤	1	1450
«Qc├ier┤	1	1450
«Sp├ier┤	1	1450
«ab├ier┤	1	1450
«ch├ier┤	1	1450
«cl├ier┤	1	1450
«fl├ier┤	1	1450
«gn├ier┤	1	1450
«if├ier┤	1	1450
«im├ier┤	1	1450
«kg├ier┤	1	1450
«mi├ier┤	1	1450
«nd├ier┤	1	1450
«ng├ier┤	1	1450
«nh├ier┤	1	1450
«nl├ier┤	1	1450
«nt├ier┤	1	1450
«nv├ier┤	1	1450
«oo├ier┤	1	1450
«ph├ier┤	1	1450
«rn├ier┤	1	1450
«rr├ier┤	1	1450
«rs├ier┤	1	1450
«sd├ier┤	1	1450
«sr├ier┤	1	1450
«sw├ier┤	1	1450
«tl├ier┤	1	1450
«uc├ier┤	1	1450
«us├ier┤	1	1450
«uv├ier┤	1	1450
«vl├ier┤	1	1450
«vn├ier┤	1	1450
«yt├ier┤	1	1450
« w├are┤	727	1425
« j├are┤	152	1425
« h├are┤	114	1425
«pp├are┤	85	1425
«ep├are┤	36	1425
« B├are┤	24	1425
«ss├are┤	21	1425
« v├are┤	20	1425
«bh├are┤	19	1425
«ev├are┤	16	1425
«rv├are┤	14	1425
«en├are┤	13	1425
«tw├are┤	11	1425
« b├are┤	10	1425
«cl├are┤	10	1425
«sw├are┤	10	1425
« C├are┤	9	1425
«nb├are┤	8	1425
«tv├are┤	8	1425
« g├are┤	7	1425
«eb├are┤	7	1425
« N├are┤	6	1425
«sc├are┤	6	1425
« p├are┤	5	1425
«tb├are┤	5	1425
«lv├are┤	4	1425
«n ├are┤	4	1425
«rb├are┤	4	1425
«sj├are┤	4	1425
« F├are┤	3	1425
« W├are┤	3	1425
«ab├are┤	3	1425
«mp├are┤	3	1425
«ti├are┤	3	1425
« J├are┤	2	1425
«Su├are┤	2	1425
«ap├are┤	2	1425
«ed├are┤	2	1425
«ew├are┤	2	1425
«ir├are┤	2	1425
«lb├are┤	2	1425
«vr├are┤	2	1425
« G├are┤	1	1425
« L├are┤	1	1425
« M├are┤	1	1425
« S├are┤	1	1425
« V├are┤	1	1425
« l├are┤	1	1425
« r├are┤	1	1425
«'w├are┤	1	1425
«0 ├are┤	1	1425
«: ├are┤	1	1425
«<r├are┤	1	1425
«Bh├are┤	1	1425
«No├are┤	1	1425
«Sn├are┤	1	1425
«\r├are┤	1	1425
«ac├are┤	1	1425
«ah├are┤	1	1425
«bb├are┤	1	1425
«f ├are┤	1	1425
«ha├are┤	1	1425
«hb├are┤	1	1425
«in├are┤	1	1425
«kb├are┤	1	1425
«nd├are┤	1	1425
«np├are┤	1	1425
«nv├are┤	1	1425
«nw├are┤	1	1425
«ru├are┤	1	1425
«sp├are┤	1	1425
«t ├are┤	1	1425
«tm├are┤	1	1425
«va├are┤	1	1425
«vf├are┤	1	1425
«wr├are┤	1	1425
«éc├are┤	1	1425
« w├as ┤	1100	1414
« p├as ┤	45	1414
«li├as ┤	15	1414
«ay├as ┤	13	1414
«om├as ┤	13	1414
« c├as ┤	11	1414
«ir├as ┤	11	1414
«ft├as ┤	10	1414
«pi├as ┤	10	1414
«ew├as ┤	9	1414
«in├as ┤	9	1414
«cc├as ┤	8	1414
«im├as ┤	8	1414
«ah├as ┤	7	1414
«iv├as ┤	7	1414
«mi├as ┤	6	1414
«on├as ┤	6	1414
«uc├as ┤	6	1414
« M├as ┤	5	1414
« m├as ┤	5	1414
«di├as ┤	5	1414
«nd├as ┤	5	1414
«Pl├as ┤	4	1414
«el├as ┤	4	1414
«lh├as ┤	4	1414
«v^├as ┤	4	1414
« W├as ┤	3	1414
«dj├as ┤	3	1414
«gf├as ┤	3	1414
«nh├as ┤	3	1414
«ur├as ┤	3	1414
«(w├as ┤	2	1414
«Ag├as ┤	2	1414
«Go├as ┤	2	1414
«Oy├as ┤	2	1414
«So├as ┤	2	1414
«ai├as ┤	2	1414
«an├as ┤	2	1414
«av├as ┤	2	1414
«le├as ┤	2	1414
«mb├as ┤	2	1414
«ni├as ┤	2	1414
«od├as ┤	2	1414
«pr├as ┤	2	1414
«rb├as ┤	2	1414
«rt├as ┤	2	1414
«ve├as ┤	2	1414
«vi├as ┤	2	1414
«vr├as ┤	2	1414
« d├as ┤	1	1414
« k├as ┤	1	1414
« r├as ┤	1	1414
«\r├as ┤	1	1414
«at├as ┤	1	1414
«bh├as ┤	1	1414
«bi├as ┤	1	1414
«dr├as ┤	1	1414
«ec├as ┤	1	1414
«ed├as ┤	1	1414
«ef├as ┤	1	1414
«er├as ┤	1	1414
«fl├as ┤	1	1414
«ic├as ┤	1	1414
«id├as ┤	1	1414
«lr├as ┤	1	1414
«ma├as ┤	1	1414
«nn├as ┤	1	1414
«no├as ┤	1	1414
«nw├as ┤	1	1414
«or├as ┤	1	1414
«pl├as ┤	1	1414
«pp├as ┤	1	1414
«rl├as ┤	1	1414
«rn├as ┤	1	1414
«sU├as ┤	1	1414
«so├as ┤	1	1414
«ti├as ┤	1	1414
«tt├as ┤	1	1414
«tw├as ┤	1	1414
«ym├as ┤	1	1414
«yr├as ┤	1	1414
«yt├as ┤	1	1414
«ac├hte┤	527	1403
«oc├hte┤	334	1403
«ec├hte┤	237	1403
«ic├hte┤	134	1403
«uc├hte┤	93	1403
«sc├hte┤	29	1403
«rc├hte┤	10	1403
«ig├hte┤	9	1403
«yc├hte┤	7	1403
«rg├hte┤	5	1403
«Ac├hte┤	3	1403
«ng├hte┤	3	1403
«og├hte┤	3	1403
«ag├hte┤	2	1403
«)c├hte┤	1	1403
«Ec├hte┤	1	1403
«Hc├hte┤	1	1403
«Mï├hte┤	1	1403
«^c├hte┤	1	1403
«ao├hte┤	1	1403
«at├hte┤	1	1403
«e ├'t ┤	280	1395
«n ├'t ┤	244	1395
«t ├'t ┤	171	1395
«r ├'t ┤	155	1395
«, ├'t ┤	131	1395
«s ├'t ┤	92	1395
«o ├'t ┤	48	1395
«p ├'t ┤	44	1395
«; ├'t ┤	33	1395
«m ├'t ┤	29	1395
«y ├'t ┤	25	1395
«. ├'t ┤	14	1395
«l ├'t ┤	14	1395
«k ├'t ┤	11	1395
«^ ├'t ┤	9	1395
«h ├'t ┤	8	1395
«a ├'t ┤	7	1395
«an├'t ┤	6	1395
«er├'t ┤	6	1395
«en├'t ┤	5	1395
«op├'t ┤	5	1395
«de├'t ┤	4	1395
«or├'t ┤	4	1395
« (├'t ┤	3	1395
«: ├'t ┤	3	1395
«ae├'t ┤	3	1395
«ot├'t ┤	3	1395
«u ├'t ┤	3	1395
«' ├'t ┤	2	1395
«) ├'t ┤	2	1395
«0 ├'t ┤	2	1395
«8 ├'t ┤	2	1395
«om├'t ┤	2	1395
«wy├'t ┤	2	1395
« /├'t ┤	1	1395
« ;├'t ┤	1	1395
« E├'t ┤	1	1395
«1 ├'t ┤	1	1395
«2 ├'t ┤	1	1395
«6 ├'t ┤	1	1395
«Ed├'t ┤	1	1395
«b ├'t ┤	1	1395
«i ├'t ┤	1	1395
«in├'t ┤	1	1395
«is├'t ┤	1	1395
«it├'t ┤	1	1395
«j ├'t ┤	1	1395
«ls├'t ┤	1	1395
«os├'t ┤	1	1395
«rt├'t ┤	1	1395
«st├'t ┤	1	1395
«ts├'t ┤	1	1395
«ve├'t ┤	1	1395
«xt├'t ┤	1	1395
«yt├'t ┤	1	1395
«» ├'t ┤	1	1395
«— ├'t ┤	1	1395
« s├elv┤	497	1395
«es├elv┤	371	1395
«ns├elv┤	243	1395
«ts├elv┤	108	1395
«rs├elv┤	96	1395
«Hs├elv┤	20	1395
«*s├elv┤	17	1395
« w├elv┤	10	1395
«ss├elv┤	7	1395
«ls├elv┤	6	1395
«ve├elv┤	4	1395
«^s├elv┤	3	1395
«cs├elv┤	2	1395
«)s├elv┤	1	1395
«:s├elv┤	1	1395
«Is├elv┤	1	1395
«Us├elv┤	1	1395
«em├elv┤	1	1395
«hs├elv┤	1	1395
«is├elv┤	1	1395
«og├elv┤	1	1395
«ta├elv┤	1	1395
«us├elv┤	1	1395
«és├elv┤	1	1395
«en├ige┤	766	1388
«an├ige┤	112	1388
«ht├ige┤	64	1388
«yn├ige┤	42	1388
«or├ige┤	40	1388
«ed├ige┤	35	1388
«rd├ige┤	31	1388
«ll├ige┤	27	1388
«nd├ige┤	26	1388
«av├ige┤	24	1388
«ld├ige┤	18	1388
«ad├ige┤	15	1388
«st├ige┤	15	1388
«ar├ige┤	13	1388
«bl├ige┤	12	1388
«mm├ige┤	12	1388
«at├ige┤	10	1388
«er├ige┤	10	1388
«od├ige┤	10	1388
«yr├ige┤	10	1388
«ft├ige┤	6	1388
«lv├ige┤	6	1388
«tt├ige┤	6	1388
«ev├ige┤	5	1388
«ir├ige┤	5	1388
«rt├ige┤	5	1388
«uw├ige┤	5	1388
«ck├ige┤	4	1388
«ss├ige┤	4	1388
«yd├ige┤	4	1388
«fl├ige┤	3	1388
«it├ige┤	3	1388
«nn├ige┤	3	1388
«ud├ige┤	3	1388
«hl├ige┤	2	1388
«il├ige┤	2	1388
«yl├ige┤	2	1388
«én├ige┤	2	1388
« e├ige┤	1	1388
« r├ige┤	1	1388
« t├ige┤	1	1388
«af├ige┤	1	1388
«ao├ige┤	1	1388
«bt├ige┤	1	1388
«ef├ige┤	1	1388
«ek├ige┤	1	1388
«ep├ige┤	1	1388
«et├ige┤	1	1388
«eu├ige┤	1	1388
«gi├ige┤	1	1388
«gl├ige┤	1	1388
«in├ige┤	1	1388
«iv├ige┤	1	1388
«mi├ige┤	1	1388
«ov├ige┤	1	1388
«ra├ige┤	1	1388
«rr├ige┤	1	1388
«sl├ige┤	1	1388
«su├ige┤	1	1388
«ts├ige┤	1	1388
«tu├ige┤	1	1388
«ur├ige┤	1	1388
«uy├ige┤	1	1388
«we├ige┤	1	1388
«re├ale┤	687	1370
« G├ale┤	103	1370
« M├ale┤	102	1370
«et├ale┤	58	1370
« m├ale┤	37	1370
«ng├ale┤	32	1370
«ip├ale┤	30	1370
« h├ale┤	26	1370
« P├ale┤	25	1370
«er├ale┤	19	1370
«ss├ale┤	16	1370
«em├ale┤	14	1370
« g├ale┤	13	1370
« s├ale┤	12	1370
« t├ale┤	12	1370
«ld├ale┤	12	1370
« b├ale┤	11	1370
« S├ale┤	10	1370
«e ├ale┤	9	1370
«rh├ale┤	9	1370
«oy├ale┤	7	1370
« p├ale┤	6	1370
« v├ale┤	6	1370
«tm├ale┤	6	1370
«in├ale┤	5	1370
«it├ale┤	5	1370
«tu├ale┤	5	1370
« d├ale┤	4	1370
«ab├ale┤	4	1370
«am├ale┤	4	1370
«eh├ale┤	4	1370
«el├ale┤	4	1370
«ri├ale┤	4	1370
« W├ale┤	3	1370
«, ├ale┤	3	1370
«av├ale┤	3	1370
«gi├ale┤	3	1370
«mb├ale┤	3	1370
«nt├ale┤	3	1370
«or├ale┤	3	1370
« H├ale┤	2	1370
« V├ale┤	2	1370
« c├ale┤	2	1370
« l├ale┤	2	1370
« z├ale┤	2	1370
«at├ale┤	2	1370
«eg├ale┤	2	1370
«n ├ale┤	2	1370
«rm├ale┤	2	1370
«rn├ale┤	2	1370
« '├ale┤	1	1370
« (├ale┤	1	1370
« B├ale┤	1	1370
« w├ale┤	1	1370
«'c├ale┤	1	1370
«(l├ale┤	1	1370
«*e├ale┤	1	1370
«[P├ale┤	1	1370
«^ ├ale┤	1	1370
«as├ale┤	1	1370
«dr├ale┤	1	1370
«eM├ale┤	1	1370
«en├ale┤	1	1370
«gw├ale┤	1	1370
«hr├ale┤	1	1370
«im├ale┤	1	1370
«lh├ale┤	1	1370
«nh├ale┤	1	1370
«nv├ale┤	1	1370
«nw├ale┤	1	1370
«ph├ale┤	1	1370
«rt├ale┤	1	1370
«s ├ale┤	1	1370
«sl├ale┤	1	1370
«st├ale┤	1	1370
«tr├ale┤	1	1370
«yn├ale┤	1	1370
«yw├ale┤	1	1370
«en├ om┤	272	1368
«n,├ om┤	181	1368
«de├ om┤	91	1368
«t,├ om┤	67	1368
«er├ om┤	49	1368
«ck├ om┤	42	1368
«e,├ om┤	34	1368
«s,├ om┤	28	1368
«ie├ om┤	26	1368
«ls├ om┤	25	1368
«et├ om┤	24	1368
«st├ om┤	23	1368
«yt├ om┤	20	1368
«el├ om┤	19	1368
«ht├ om┤	19	1368
«at├ om┤	18	1368
«nt├ om┤	16	1368
«r,├ om┤	16	1368
«rt├ om┤	15	1368
«as├ om┤	13	1368
«ch├ om┤	12	1368
«k,├ om┤	12	1368
«a,├ om┤	11	1368
«re├ om┤	11	1368
«dt├ om┤	10	1368
«is├ om┤	9	1368
«ts├ om┤	9	1368
«an├ om┤	8	1368
«gh├ om┤	8	1368
«l,├ om┤	8	1368
«mt├ om┤	8	1368
«ns├ om┤	8	1368
«ve├ om┤	8	1368
«yn├ om┤	8	1368
«am├ om┤	7	1368
«n;├ om┤	7	1368
«rs├ om┤	7	1368
«.,├ om┤	6	1368
«be├ om┤	5	1368
«ff├ om┤	5	1368
«h,├ om┤	5	1368
«le├ om┤	5	1368
«lt├ om┤	5	1368
«oo├ om┤	5	1368
«te├ om┤	5	1368
«al├ om┤	4	1368
«bt├ om┤	4	1368
«em├ om┤	4	1368
«kt├ om┤	4	1368
«m,├ om┤	4	1368
«nd├ om┤	4	1368
«o,├ om┤	4	1368
«se├ om┤	4	1368
«y,├ om┤	4	1368
« ;├ om┤	3	1368
«E.├ om┤	3	1368
«cx├ om┤	3	1368
«d^├ om┤	3	1368
«f,├ om┤	3	1368
«ge├ om┤	3	1368
«ke├ om┤	3	1368
«lo├ om┤	3	1368
«me├ om┤	3	1368
«na├ om┤	3	1368
«on├ om┤	3	1368
«ot├ om┤	3	1368
«sy├ om┤	3	1368
« U├ om┤	2	1368
«c,├ om┤	2	1368
«ca├ om┤	2	1368
«eu├ om┤	2	1368
«h;├ om┤	2	1368
«hy├ om┤	2	1368
«ir├ om┤	2	1368
«j,├ om┤	2	1368
«ks├ om┤	2	1368
«la├ om┤	2	1368
«or├ om┤	2	1368
«os├ om┤	2	1368
«ou├ om┤	2	1368
«un├ om┤	2	1368
«up├ om┤	2	1368
« —├ om┤	1	1368
«'d├ om┤	1	1368
«'t├ om┤	1	1368
«(T├ om┤	1	1368
«*.├ om┤	1	1368
«*s├ om┤	1	1368
«1,├ om┤	1	1368
«A\├ om┤	1	1368
«],├ om┤	1	1368
«^,├ om┤	1	1368
«^°├ om┤	1	1368
«ad├ om┤	1	1368
«ag├ om┤	1	1368
«ay├ om┤	1	1368
«ce├ om┤	1	1368
«co├ om┤	1	1368
«d'├ om┤	1	1368
«dj├ om┤	1	1368
«dl├ om┤	1	1368
«dr├ om┤	1	1368
«e)├ om┤	1	1368
«e;├ om┤	1	1368
«ed├ om┤	1	1368
«ee├ om┤	1	1368
«es├ om┤	1	1368
«ey├ om┤	1	1368
«fe├ om┤	1	1368
«ft├ om┤	1	1368
«gu├ om┤	1	1368
«h)├ om┤	1	1368
«hj├ om┤	1	1368
«hs├ om┤	1	1368
«ia├ om┤	1	1368
«im├ om┤	1	1368
«in├ om┤	1	1368
«ip├ om┤	1	1368
«it├ om┤	1	1368
«ja├ om┤	1	1368
«lf├ om┤	1	1368
«lj├ om┤	1	1368
«n'├ om┤	1	1368
«n)├ om┤	1	1368
«ne├ om┤	1	1368
«ng├ om┤	1	1368
«ni├ om┤	1	1368
«nj├ om┤	1	1368
«nl├ om┤	1	1368
«n»├ om┤	1	1368
«oa├ om┤	1	1368
«od├ om┤	1	1368
«oe├ om┤	1	1368
«ok├ om┤	1	1368
«ol├ om┤	1	1368
«p,├ om┤	1	1368
«p^├ om┤	1	1368
«pa├ om┤	1	1368
«pe├ om┤	1	1368
«q,├ om┤	1	1368
«ra├ om┤	1	1368
«rj├ om┤	1	1368
«t'├ om┤	1	1368
«th├ om┤	1	1368
«ti├ om┤	1	1368
«u,├ om┤	1	1368
«ur├ om┤	1	1368
«ut├ om┤	1	1368
«w,├ om┤	1	1368
«wy├ om┤	1	1368
«y^├ om┤	1	1368
«ye├ om┤	1	1368
«ys├ om┤	1	1368
«®*├ om┤	1	1368
«ü,├ om┤	1	1368
«en├ uy┤	230	1362
«er├ uy┤	92	1362
«de├ uy┤	69	1362
«n,├ uy┤	68	1362
«a,├ uy┤	44	1362
«et├ uy┤	39	1362
«ck├ uy┤	38	1362
«h,├ uy┤	34	1362
«ts├ uy┤	33	1362
«rs├ uy┤	26	1362
«m,├ uy┤	24	1362
«el├ uy┤	23	1362
«nt├ uy┤	22	1362
«t,├ uy┤	22	1362
«rt├ uy┤	21	1362
«l,├ uy┤	20	1362
«gh├ uy┤	19	1362
«ie├ uy┤	19	1362
«ns├ uy┤	18	1362
«ch├ uy┤	16	1362
«cx├ uy┤	15	1362
«e,├ uy┤	14	1362
«k,├ uy┤	13	1362
«ve├ uy┤	13	1362
«yt├ uy┤	13	1362
«c,├ uy┤	11	1362
«d'├ uy┤	11	1362
«ht├ uy┤	11	1362
«o,├ uy┤	11	1362
«s,├ uy┤	11	1362
«'t├ uy┤	10	1362
«at├ uy┤	10	1362
«ls├ uy┤	10	1362
«ye├ uy┤	10	1362
«an├ uy┤	9	1362
«ge├ uy┤	9	1362
«re├ uy┤	9	1362
«st├ uy┤	9	1362
«te├ uy┤	9	1362
«y,├ uy┤	8	1362
«am├ uy┤	7	1362
«ff├ uy┤	7	1362
«j,├ uy┤	7	1362
«le├ uy┤	7	1362
«on├ uy┤	7	1362
«or├ uy┤	7	1362
«dt├ uy┤	6	1362
«ke├ uy┤	6	1362
«r,├ uy┤	6	1362
«as├ uy┤	5	1362
«in├ uy┤	5	1362
«rj├ uy┤	5	1362
«se├ uy┤	5	1362
«th├ uy┤	5	1362
«to├ uy┤	5	1362
«ys├ uy┤	5	1362
«es├ uy┤	4	1362
«hs├ uy┤	4	1362
«is├ uy┤	4	1362
«it├ uy┤	4	1362
«op├ uy┤	4	1362
«ou├ uy┤	4	1362
«un├ uy┤	4	1362
«ut├ uy┤	4	1362
«yn├ uy┤	4	1362
« ;├ uy┤	3	1362
«10├ uy┤	3	1362
«11├ uy┤	3	1362
«24├ uy┤	3	1362
«ae├ uy┤	3	1362
«ia├ uy┤	3	1362
«il├ uy┤	3	1362
«ks├ uy┤	3	1362
«mt├ uy┤	3	1362
«ot├ uy┤	3	1362
« H├ uy┤	2	1362
«al├ uy┤	2	1362
«ar├ uy┤	2	1362
«ay├ uy┤	2	1362
«cq├ uy┤	2	1362
«d,├ uy┤	2	1362
«da├ uy┤	2	1362
«em├ uy┤	2	1362
«ft├ uy┤	2	1362
«gb├ uy┤	2	1362
«kj├ uy┤	2	1362
«kt├ uy┤	2	1362
«n)├ uy┤	2	1362
«na├ uy┤	2	1362
«ne├ uy┤	2	1362
«oa├ uy┤	2	1362
«os├ uy┤	2	1362
«pt├ uy┤	2	1362
«ra├ uy┤	2	1362
«rm├ uy┤	2	1362
«t;├ uy┤	2	1362
«ur├ uy┤	2	1362
« 3├ uy┤	1	1362
« 9├ uy┤	1	1362
« —├ uy┤	1	1362
«".├ uy┤	1	1362
«";├ uy┤	1	1362
«25├ uy┤	1	1362
«8;├ uy┤	1	1362
«8^├ uy┤	1	1362
«E.├ uy┤	1	1362
«ET├ uy┤	1	1362
«IE├ uy┤	1	1362
«Va├ uy┤	1	1362
«^.├ uy┤	1	1362
«ap├ uy┤	1	1362
«bj├ uy┤	1	1362
«ct├ uy┤	1	1362
«d.├ uy┤	1	1362
«d^├ uy┤	1	1362
«e)├ uy┤	1	1362
«ef├ uy┤	1	1362
«ek├ uy┤	1	1362
«ey├ uy┤	1	1362
«f,├ uy┤	1	1362
«go├ uy┤	1	1362
«h^├ uy┤	1	1362
«ha├ uy┤	1	1362
«iA├ uy┤	1	1362
«io├ uy┤	1	1362
«ip├ uy┤	1	1362
«lh├ uy┤	1	1362
«li├ uy┤	1	1362
«lo├ uy┤	1	1362
«m)├ uy┤	1	1362
«ms├ uy┤	1	1362
«n;├ uy┤	1	1362
«nd├ uy┤	1	1362
«nu├ uy┤	1	1362
«o.├ uy┤	1	1362
«oe├ uy┤	1	1362
«ol├ uy┤	1	1362
«om├ uy┤	1	1362
«oo├ uy┤	1	1362
«p^├ uy┤	1	1362
«ps├ uy┤	1	1362
«ry├ uy┤	1	1362
«s.├ uy┤	1	1362
«s;├ uy┤	1	1362
«sl├ uy┤	1	1362
«ta├ uy┤	1	1362
«tj├ uy┤	1	1362
«ty├ uy┤	1	1362
«u,├ uy┤	1	1362
«ue├ uy┤	1	1362
«um├ uy┤	1	1362
«uw├ uy┤	1	1362
«vo├ uy┤	1	1362
«we├ uy┤	1	1362
«yc├ uy┤	1	1362
«yl├ uy┤	1	1362
«yo├ uy┤	1	1362
«y»├ uy┤	1	1362
«z.├ uy┤	1	1362
«®.├ uy┤	1	1362
«».├ uy┤	1	1362
« g├eme┤	659	1359
«rn├eme┤	135	1359
«ne├eme┤	98	1359
« n├eme┤	77	1359
«nt├eme┤	37	1359
« G├eme┤	23	1359
«pl├eme┤	21	1359
«no├eme┤	18	1359
«iv├eme┤	15	1359
«Di├eme┤	14	1359
«qu├eme┤	14	1359
«me├eme┤	13	1359
«na├eme┤	13	1359
«ge├eme┤	12	1359
«to├eme┤	12	1359
«nn├eme┤	11	1359
«og├eme┤	11	1359
«ua├eme┤	10	1359
«rg├eme┤	9	1359
« b├eme┤	8	1359
«yg├eme┤	8	1359
«ct├eme┤	7	1359
«eh├eme┤	7	1359
«lo├eme┤	7	1359
« R├eme┤	6	1359
«fg├eme┤	6	1359
«sa├eme┤	6	1359
«ss├eme┤	6	1359
«uv├eme┤	5	1359
« h├eme┤	4	1359
«en├eme┤	4	1359
«ri├eme┤	4	1359
«tr├eme┤	4	1359
« H├eme┤	3	1359
« r├eme┤	3	1359
« v├eme┤	3	1359
«ay├eme┤	3	1359
«ch├eme┤	3	1359
«ga├eme┤	3	1359
«lg├eme┤	3	1359
«ng├eme┤	3	1359
« t├eme┤	2	1359
«e ├eme┤	2	1359
«fn├eme┤	2	1359
«nc├eme┤	2	1359
«nd├eme┤	2	1359
«nl├eme┤	2	1359
«ol├eme┤	2	1359
«ro├eme┤	2	1359
«tn├eme┤	2	1359
«tt├eme┤	2	1359
« ^├eme┤	1	1359
« u├eme┤	1	1359
«Hg├eme┤	1	1359
«Ro├eme┤	1	1359
«ag├eme┤	1	1359
«av├eme┤	1	1359
«ci├eme┤	1	1359
«cl├eme┤	1	1359
«eg├eme┤	1	1359
«em├eme┤	1	1359
«er├eme┤	1	1359
«gi├eme┤	1	1359
«gu├eme┤	1	1359
«l)├eme┤	1	1359
«le├eme┤	1	1359
«lt├eme┤	1	1359
«ma├eme┤	1	1359
«n ├eme┤	1	1359
«ni├eme┤	1	1359
«os├eme┤	1	1359
«ov├eme┤	1	1359
«pg├eme┤	1	1359
«ra├eme┤	1	1359
«rd├eme┤	1	1359
«re├eme┤	1	1359
«rs├eme┤	1	1359
«rt├eme┤	1	1359
«tg├eme┤	1	1359
«ug├eme┤	1	1359
«wa├eme┤	1	1359
«we├eme┤	1	1359
«de├ 't┤	154	1338
«en├ 't┤	114	1338
«er├ 't┤	109	1338
«an├ 't┤	89	1338
«et├ 't┤	68	1338
«n,├ 't┤	63	1338
«ae├ 't┤	61	1338
«oo├ 't┤	47	1338
«or├ 't┤	47	1338
«op├ 't┤	39	1338
«rt├ 't┤	37	1338
«in├ 't┤	33	1338
«ie├ 't┤	25	1338
«rs├ 't┤	25	1338
«ns├ 't┤	24	1338
«om├ 't┤	24	1338
«t,├ 't┤	22	1338
«le├ 't┤	21	1338
«ot├ 't┤	20	1338
«by├ 't┤	17	1338
«ls├ 't┤	17	1338
«kt├ 't┤	14	1338
«yt├ 't┤	14	1338
«n;├ 't┤	13	1338
«ck├ 't┤	11	1338
«at├ 't┤	10	1338
«ts├ 't┤	10	1338
«al├ 't┤	9	1338
«e,├ 't┤	8	1338
«ch├ 't┤	7	1338
«t;├ 't┤	7	1338
« ;├ 't┤	6	1338
«'.├ 't┤	6	1338
«as├ 't┤	6	1338
«is├ 't┤	6	1338
«p^├ 't┤	6	1338
«r,├ 't┤	6	1338
«ge├ 't┤	5	1338
«l,├ 't┤	5	1338
«hy├ 't┤	4	1338
«p,├ 't┤	4	1338
«s,├ 't┤	4	1338
«te├ 't┤	4	1338
«Op├ 't┤	3	1338
«a,├ 't┤	3	1338
«h,├ 't┤	3	1338
«k,├ 't┤	3	1338
«yn├ 't┤	3	1338
«),├ 't┤	2	1338
«E.├ 't┤	2	1338
«am├ 't┤	2	1338
«c,├ 't┤	2	1338
«d.├ 't┤	2	1338
«da├ 't┤	2	1338
«dt├ 't┤	2	1338
«e;├ 't┤	2	1338
«em├ 't┤	2	1338
